Epoch,test accuracy,training accuracy
276,45.83,"(50.514736842105265, 47989, 95000)"
277,48.97,"(50.392631578947366, 47873, 95000)"
278,46.74,"(50.13473684210526, 47628, 95000)"
279,47.71,"(49.57157894736842, 47093, 95000)"
280,44.0,"(49.36526315789474, 46897, 95000)"
281,46.15,"(49.014736842105265, 46564, 95000)"
282,45.47,"(48.5221052631579, 46096, 95000)"
283,45.69,"(48.33157894736842, 45915, 95000)"
284,46.32,"(48.01894736842105, 45618, 95000)"
285,41.6,"(47.77368421052632, 45385, 95000)"
286,46.48,"(47.54105263157895, 45164, 95000)"
287,40.31,"(47.217894736842105, 44857, 95000)"
288,39.84,"(46.90631578947369, 44561, 95000)"
289,43.71,"(46.618947368421054, 44288, 95000)"
290,46.42,"(46.438947368421054, 44117, 95000)"
291,40.83,"(46.415789473684214, 44095, 95000)"
292,44.43,"(46.03157894736842, 43730, 95000)"
293,44.01,"(45.746315789473684, 43459, 95000)"
294,42.55,"(45.514736842105265, 43239, 95000)"
295,44.36,"(45.31263157894737, 43047, 95000)"
296,41.97,"(44.89473684210526, 42650, 95000)"
297,43.39,"(44.82421052631579, 42583, 95000)"
298,44.25,"(44.34842105263158, 42131, 95000)"
299,43.05,"(44.27578947368421, 42062, 95000)"
