;Epoch;test_accuracy;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier
34;34;64.76;0.15625;0.609375;0.6875;0.6875;0.20703125;0.12109375;0.04296875;0.03125;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.005859375;0.009765625;0.015625;0.6;0.15625;0.609375;0.6640625;0.6875;0.19921875;0.109375;0.0390625;0.03125;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.005859375;0.009765625;0.015625;0.6
35;35;62.68;0.15625;0.609375;0.6875;0.6875;0.20703125;0.125;0.04296875;0.03125;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.005859375;0.009765625;0.015625;0.7;0.15625;0.609375;0.65625;0.6796875;0.2109375;0.125;0.04296875;0.03125;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.005859375;0.009765625;0.015625;0.6
36;36;64.74;0.15625;0.625;0.703125;0.7109375;0.21484375;0.12109375;0.04296875;0.02734375;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.005859375;0.009765625;0.015625;0.7;0.15625;0.625;0.671875;0.6875;0.2109375;0.12109375;0.04296875;0.02734375;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.009765625;0.015625;0.6
37;37;61.78;0.15625;0.609375;0.6796875;0.6953125;0.2109375;0.12109375;0.0390625;0.03125;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.009765625;0.013671875;0.7;0.15625;0.609375;0.6640625;0.6953125;0.2109375;0.1171875;0.0390625;0.03125;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.009765625;0.015625;0.6
38;38;65.16;0.15625;0.59375;0.6953125;0.703125;0.21875;0.12109375;0.0390625;0.02734375;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.005859375;0.009765625;0.015625;0.6;0.15625;0.59375;0.6796875;0.7109375;0.2109375;0.11328125;0.04296875;0.02734375;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.009765625;0.015625;0.6
39;39;60.48;0.15625;0.609375;0.6796875;0.703125;0.203125;0.12109375;0.0390625;0.02734375;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.009765625;0.015625;0.7;0.15625;0.609375;0.671875;0.703125;0.203125;0.1171875;0.0390625;0.02734375;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.009765625;0.013671875;0.6
40;40;67.31;0.15625;0.609375;0.6875;0.6953125;0.23046875;0.12109375;0.04296875;0.02734375;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.009765625;0.015625;0.7;0.15625;0.609375;0.6796875;0.71875;0.21484375;0.12109375;0.04296875;0.02734375;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.009765625;0.013671875;0.7
41;41;73.44;0.15625;0.625;0.6875;0.7109375;0.23046875;0.125;0.04296875;0.02734375;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.009765625;0.015625;0.7;0.15625;0.625;0.6796875;0.703125;0.22265625;0.1171875;0.04296875;0.03125;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.009765625;0.013671875;0.7
42;42;67.71;0.15625;0.609375;0.703125;0.7109375;0.23046875;0.12109375;0.0390625;0.02734375;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.009765625;0.015625;0.7;0.15625;0.625;0.671875;0.703125;0.23046875;0.12109375;0.04296875;0.02734375;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.0078125;0.013671875;0.6
43;43;63.92;0.15625;0.609375;0.6875;0.7109375;0.21875;0.125;0.04296875;0.02734375;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.009765625;0.015625;0.7;0.15625;0.625;0.6796875;0.7109375;0.21484375;0.125;0.04296875;0.02734375;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.009765625;0.015625;0.7
