Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Pruner,Architecture,Dataset,Pruning Rate
50,705156485704.0,0.078648068010807,99.38,0.1685330271720886,93.03,16,0.005,LAMP,VGG19,cifar10,0.85
60,843399874504.0,0.0491541884839534,99.32,0.1610203832387924,93.08,16,0.005,LAMP,VGG19,cifar10,0.85
70,981643263304.0,0.0500247925519943,99.42,0.1849350482225418,93.1,16,0.005,LAMP,VGG19,cifar10,0.85
80,1119886652104.0,0.0527273342013359,99.4,0.1525193452835083,93.23,16,0.005,LAMP,VGG19,cifar10,0.85
90,1258130040904.0,0.0488137379288673,99.26,0.1648892313241958,93.23,16,0.005,LAMP,VGG19,cifar10,0.85
100,1396373429704.0,0.0613526068627834,99.48,0.1659519076347351,93.19,16,0.005,LAMP,VGG19,cifar10,0.85
101,1396373429704.0,0.0513381324708461,99.28,0.1659519076347351,93.19,16,0.005,LAMP,VGG19,cifar10,0.85
-1,115192024.0,2.157686710357666,35.54,2.178224563598633,35.2,17,0.005,LAMP,VGG19,cifar10,0.85
0,13938234904.0,0.1869980543851852,98.9,0.1916597634553909,92.55,17,0.005,LAMP,VGG19,cifar10,0.85
10,152168663704.0,0.0670926794409751,98.9,0.1554252952337265,92.99,17,0.005,LAMP,VGG19,cifar10,0.85
20,290399092504.0,0.0529433786869049,99.0,0.1629414707422256,93.03,17,0.005,LAMP,VGG19,cifar10,0.85
30,428629521304.0,0.0491612926125526,99.1,0.1413997709751129,93.08,17,0.005,LAMP,VGG19,cifar10,0.85
40,566859950104.0,0.0580600686371326,98.98,0.2057022750377655,93.1,17,0.005,LAMP,VGG19,cifar10,0.85
