Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Pruner,Architecture,Dataset,Pruning Rate
70,4247542899232.0,0.1116808131337165,96.94,0.4752744734287262,73.84,11,0.005,LAMP,resnet50,cifar100,0.8
80,4845718169632.0,0.1184760704636573,97.24,0.4504744410514831,73.81,11,0.005,LAMP,resnet50,cifar100,0.8
90,5443893440032.0,0.1437986493110656,97.7,0.4869864284992218,74.01,11,0.005,LAMP,resnet50,cifar100,0.8
100,6042068710432.0,0.1356429606676101,97.96,0.4713674783706665,73.78,11,0.005,LAMP,resnet50,cifar100,0.8
101,6042068710432.0,0.1193155571818351,97.76,0.4713674783706665,73.78,11,0.005,LAMP,resnet50,cifar100,0.8
-1,498479104.0,1.9450490474700928,42.54,1.8251277208328247,40.05,12,0.005,LAMP,resnet50,cifar100,0.8
0,60315971584.0,0.7201099991798401,79.18,0.6532567739486694,65.12,12,0.005,LAMP,resnet50,cifar100,0.8
10,658490896384.0,0.2243899405002594,89.36,0.3256123960018158,70.42,12,0.005,LAMP,resnet50,cifar100,0.8
20,1256665821184.0,0.1491280347108841,91.98,0.3790919184684753,72.08,12,0.005,LAMP,resnet50,cifar100,0.8
30,1854840745984.0,0.1519331187009811,93.18,0.3639243245124817,72.79,12,0.005,LAMP,resnet50,cifar100,0.8
40,2453015670784.0,0.1586052179336547,95.42,0.4195343255996704,73.14,12,0.005,LAMP,resnet50,cifar100,0.8
50,3051190595584.0,0.1411459743976593,95.32,0.4377408921718597,73.36,12,0.005,LAMP,resnet50,cifar100,0.8
60,3649365520384.0,0.1429274082183838,96.5,0.4954828321933746,73.55,12,0.005,LAMP,resnet50,cifar100,0.8
70,4247540445184.0,0.1537744104862213,96.78,0.5059455037117004,73.77,12,0.005,LAMP,resnet50,cifar100,0.8
80,4845715369984.0,0.1413248479366302,96.88,0.5268228650093079,73.7,12,0.005,LAMP,resnet50,cifar100,0.8
90,5443890294784.0,0.1199913918972015,97.44,0.5348268747329712,73.89,12,0.005,LAMP,resnet50,cifar100,0.8
100,6042065219584.0,0.1142457500100135,97.74,0.5322964191436768,73.99,12,0.005,LAMP,resnet50,cifar100,0.8
101,6042065219584.0,0.1215988248586654,97.76,0.5322964191436768,73.99,12,0.005,LAMP,resnet50,cifar100,0.8
-1,498490896.0,1.9618396759033203,44.56,1.8898307085037231,41.71,13,0.005,LAMP,resnet50,cifar100,0.8
0,60317398416.0,0.708396852016449,76.3,0.6529701352119446,64.39,13,0.005,LAMP,resnet50,cifar100,0.8
10,658506473616.0,0.1961125880479812,88.94,0.378012865781784,71.06,13,0.005,LAMP,resnet50,cifar100,0.8
20,1256695548816.0,0.1868493109941482,91.46,0.3743122220039367,72.35,13,0.005,LAMP,resnet50,cifar100,0.8
30,1854884624016.0,0.1331215947866439,93.34,0.4177587330341339,72.97,13,0.005,LAMP,resnet50,cifar100,0.8
40,2453073699216.0,0.1814595162868499,95.08,0.3817725479602813,73.44,13,0.005,LAMP,resnet50,cifar100,0.8
50,3051262774416.0,0.1336652934551239,95.6,0.3976121842861175,73.66,13,0.005,LAMP,resnet50,cifar100,0.8
60,3649451849616.0,0.1574073433876037,96.24,0.4291231036186218,73.61,13,0.005,LAMP,resnet50,cifar100,0.8
70,4247640924816.0,0.1620756238698959,96.88,0.5397476553916931,73.53,13,0.005,LAMP,resnet50,cifar100,0.8
80,4845830000016.0,0.1220582649111747,97.0,0.5028036832809448,73.74,13,0.005,LAMP,resnet50,cifar100,0.8
90,5444019075216.0,0.1663544923067093,97.52,0.4672144651412964,73.94,13,0.005,LAMP,resnet50,cifar100,0.8
100,6042208150416.0,0.1238737627863884,98.04,0.526676595211029,73.82,13,0.005,LAMP,resnet50,cifar100,0.8
101,6042208150416.0,0.1249706000089645,97.9,0.526676595211029,73.82,13,0.005,LAMP,resnet50,cifar100,0.8
-1,498383008.0,1.8558495044708248,46.4,1.7297260761260986,43.51,14,0.005,LAMP,resnet50,cifar100,0.8
0,60304343968.0,0.7561529278755188,79.56,0.652073860168457,65.2,14,0.005,LAMP,resnet50,cifar100,0.8
10,658363953568.0,0.1894646733999252,89.6,0.3907071053981781,70.67,14,0.005,LAMP,resnet50,cifar100,0.8
20,1256423563168.0,0.1664067208766937,91.96,0.3740308582782745,71.89,14,0.005,LAMP,resnet50,cifar100,0.8
30,1854483172768.0,0.1638389974832534,93.06,0.4250964820384979,72.74,14,0.005,LAMP,resnet50,cifar100,0.8
40,2452542782368.0,0.1660804003477096,95.16,0.4224866926670074,72.99,14,0.005,LAMP,resnet50,cifar100,0.8
50,3050602391968.0,0.1740919202566146,95.46,0.5615196228027344,73.07,14,0.005,LAMP,resnet50,cifar100,0.8
60,3648662001568.0,0.1438291668891906,96.18,0.4895783960819244,73.21,14,0.005,LAMP,resnet50,cifar100,0.8
70,4246721611168.0,0.1415489763021469,96.64,0.5315448045730591,73.28,14,0.005,LAMP,resnet50,cifar100,0.8
80,4844781220768.0,0.1500386297702789,97.12,0.5677482485771179,73.42,14,0.005,LAMP,resnet50,cifar100,0.8
90,5442840830368.0,0.1099198460578918,97.7,0.5713145136833191,73.67,14,0.005,LAMP,resnet50,cifar100,0.8
100,6040900439968.0,0.127409428358078,97.84,0.6120601296424866,73.64,14,0.005,LAMP,resnet50,cifar100,0.8
101,6040900439968.0,0.1323402523994445,97.72,0.6120601296424866,73.64,14,0.005,LAMP,resnet50,cifar100,0.8
-1,498666160.0,2.0540521144866943,40.12,1.891056776046753,39.47,15,0.005,LAMP,resnet50,cifar100,0.8
0,60338605360.0,0.7342818379402161,77.18,0.6228865385055542,64.17,15,0.005,LAMP,resnet50,cifar100,0.8
10,658737997360.0,0.2105584144592285,88.82,0.3765968382358551,70.93,15,0.005,LAMP,resnet50,cifar100,0.8
20,1257137389360.0,0.2003018110990524,91.3,0.355265349149704,72.26,15,0.005,LAMP,resnet50,cifar100,0.8
30,1855536781360.0,0.1659736037254333,92.78,0.3943592607975006,72.67,15,0.005,LAMP,resnet50,cifar100,0.8
40,2453936173360.0,0.1511038541793823,94.18,0.4395022094249725,72.99,15,0.005,LAMP,resnet50,cifar100,0.8
50,3052335565360.0,0.171215534210205,95.26,0.4912912547588348,73.08,15,0.005,LAMP,resnet50,cifar100,0.8
60,3650734957360.0,0.1284487098455429,95.86,0.4575425088405609,73.65,15,0.005,LAMP,resnet50,cifar100,0.8
70,4249134349360.0,0.1412713676691055,96.56,0.4985467195510864,73.89,15,0.005,LAMP,resnet50,cifar100,0.8
80,4847533741360.0,0.1181083247065544,96.76,0.4995710253715515,73.73,15,0.005,LAMP,resnet50,cifar100,0.8
90,5445933133360.0,0.1317846029996872,97.52,0.5076503753662109,73.99,15,0.005,LAMP,resnet50,cifar100,0.8
100,6044332525360.0,0.1444173008203506,97.82,0.5627521276473999,73.68,15,0.005,LAMP,resnet50,cifar100,0.8
101,6044332525360.0,0.1343388706445694,97.82,0.5627521276473999,73.68,15,0.005,LAMP,resnet50,cifar100,0.8
-1,498185440.0,1.8909897804260252,43.64,1.818507552146912,41.08,16,0.005,LAMP,resnet50,cifar100,0.8
0,60280438240.0,0.7708085775375366,78.0,0.6960868835449219,64.59,16,0.005,LAMP,resnet50,cifar100,0.8
10,658102966240.0,0.2161640971899032,88.64,0.3691116869449615,70.92,16,0.005,LAMP,resnet50,cifar100,0.8
20,1255925494240.0,0.1805180162191391,91.72,0.4440193474292755,72.13,16,0.005,LAMP,resnet50,cifar100,0.8
30,1853748022240.0,0.1353342235088348,93.38,0.4370006322860718,73.06,16,0.005,LAMP,resnet50,cifar100,0.8
40,2451570550240.0,0.1659862995147705,94.5,0.4937263131141662,73.12,16,0.005,LAMP,resnet50,cifar100,0.8
50,3049393078240.0,0.1240262165665626,95.04,0.4780668914318084,73.55,16,0.005,LAMP,resnet50,cifar100,0.8
