Accuracy,Stage,$\sigma$,Pruner,Architecture,Dataset,Pruning rate
0.01075823,Voting,0.001,GMP,VGG19,cifar100,0.95
0.009299497,Mean,0.001,GMP,VGG19,cifar100,0.95
0.63967276,Voting,0.001,LAMP,VGG19,cifar100,0.95
0.63985944,Mean,0.001,LAMP,VGG19,cifar100,0.95
0.008820895,Voting,0.003,GMP,VGG19,cifar100,0.95
0.008730658,Mean,0.003,GMP,VGG19,cifar100,0.95
0.61789185,Voting,0.003,LAMP,VGG19,cifar100,0.95
0.6178052,Mean,0.003,LAMP,VGG19,cifar100,0.95
0.017149284,Voting,0.005,GMP,VGG19,cifar100,0.95
0.016719127,Mean,0.005,GMP,VGG19,cifar100,0.95
0.5600145,Voting,0.005,LAMP,VGG19,cifar100,0.95
0.5602313,Mean,0.005,LAMP,VGG19,cifar100,0.95
0.94379705,Voting,0.001,GMP,resnet18,cifar10,0.8
0.94370764,Mean,0.001,GMP,resnet18,cifar10,0.8
0.94820255,Voting,0.001,LAMP,resnet18,cifar10,0.8
0.9483965,Mean,0.001,LAMP,resnet18,cifar10,0.8
0.94767064,Voting,0.003,GMP,resnet18,cifar10,0.8
0.9468935,Mean,0.003,GMP,resnet18,cifar10,0.8
0.9473361,Voting,0.003,LAMP,resnet18,cifar10,0.8
0.94742644,Mean,0.003,LAMP,resnet18,cifar10,0.8
0.9452043,Voting,0.005,GMP,resnet18,cifar10,0.8
0.9466976,Mean,0.005,GMP,resnet18,cifar10,0.8
0.94623697,Voting,0.005,LAMP,resnet18,cifar10,0.8
0.946572,Mean,0.005,LAMP,resnet18,cifar10,0.8
0.94690436,Voting,0.001,GMP,resnet50,cifar10,0.8
0.9480014,Mean,0.001,GMP,resnet50,cifar10,0.8
0.94793403,Voting,0.001,LAMP,resnet50,cifar10,0.8
0.94783205,Mean,0.001,LAMP,resnet50,cifar10,0.8
0.94772136,Voting,0.003,GMP,resnet50,cifar10,0.8
0.9475338,Mean,0.003,GMP,resnet50,cifar10,0.8
0.94826424,Voting,0.003,LAMP,resnet50,cifar10,0.8
0.94818014,Mean,0.003,LAMP,resnet50,cifar10,0.8
0.946375,Voting,0.005,GMP,resnet50,cifar10,0.8
0.9470544,Mean,0.005,GMP,resnet50,cifar10,0.8
0.9450919,Voting,0.005,LAMP,resnet50,cifar10,0.8
0.9452079,Mean,0.005,LAMP,resnet50,cifar10,0.8
0.9372538,Voting,0.001,GMP,VGG19,cifar10,0.8
0.93745434,Mean,0.001,GMP,VGG19,cifar10,0.8
0.93620324,Voting,0.001,LAMP,VGG19,cifar10,0.8
0.9363306,Mean,0.001,LAMP,VGG19,cifar10,0.8
0.93725145,Voting,0.003,GMP,VGG19,cifar10,0.8
0.93648106,Mean,0.003,GMP,VGG19,cifar10,0.8
0.9349368,Voting,0.003,LAMP,VGG19,cifar10,0.8
0.9349058,Mean,0.003,LAMP,VGG19,cifar10,0.8
0.93549275,Voting,0.005,GMP,VGG19,cifar10,0.8
0.93652195,Mean,0.005,GMP,VGG19,cifar10,0.8
0.9369908,Voting,0.005,LAMP,VGG19,cifar10,0.8
0.9372151,Mean,0.005,LAMP,VGG19,cifar10,0.8
0.93931085,Voting,0.001,GMP,resnet18,cifar10,0.85
0.93948567,Mean,0.001,GMP,resnet18,cifar10,0.85
0.94494206,Voting,0.001,LAMP,resnet18,cifar10,0.85
0.9449756,Mean,0.001,LAMP,resnet18,cifar10,0.85
0.94229895,Voting,0.003,GMP,resnet18,cifar10,0.85
0.9409861,Mean,0.003,GMP,resnet18,cifar10,0.85
0.9460892,Voting,0.003,LAMP,resnet18,cifar10,0.85
0.9464227,Mean,0.003,LAMP,resnet18,cifar10,0.85
0.9422155,Voting,0.005,GMP,resnet18,cifar10,0.85
0.9423779,Mean,0.005,GMP,resnet18,cifar10,0.85
0.94427717,Voting,0.005,LAMP,resnet18,cifar10,0.85
0.94453245,Mean,0.005,LAMP,resnet18,cifar10,0.85
0.9468692,Voting,0.001,GMP,resnet50,cifar10,0.85
0.9468097,Mean,0.001,GMP,resnet50,cifar10,0.85
0.9481783,Voting,0.001,LAMP,resnet50,cifar10,0.85
0.94810456,Mean,0.001,LAMP,resnet50,cifar10,0.85
0.9472554,Voting,0.003,GMP,resnet50,cifar10,0.85
0.9469762,Mean,0.003,GMP,resnet50,cifar10,0.85
0.9442408,Voting,0.003,LAMP,resnet50,cifar10,0.85
0.9442483,Mean,0.003,LAMP,resnet50,cifar10,0.85
0.9432752,Voting,0.005,GMP,resnet50,cifar10,0.85
0.94341385,Mean,0.005,GMP,resnet50,cifar10,0.85
0.9404771,Voting,0.005,LAMP,resnet50,cifar10,0.85
0.9403482,Mean,0.005,LAMP,resnet50,cifar10,0.85
0.93714494,Voting,0.001,GMP,VGG19,cifar10,0.85
0.9366077,Mean,0.001,GMP,VGG19,cifar10,0.85
0.9356359,Voting,0.001,LAMP,VGG19,cifar10,0.85
0.9356548,Mean,0.001,LAMP,VGG19,cifar10,0.85
0.93681264,Voting,0.003,GMP,VGG19,cifar10,0.85
0.9373,Mean,0.003,GMP,VGG19,cifar10,0.85
0.93509877,Voting,0.003,LAMP,VGG19,cifar10,0.85
0.9351728,Mean,0.003,LAMP,VGG19,cifar10,0.85
0.9350449,Voting,0.005,GMP,VGG19,cifar10,0.85
0.93572915,Mean,0.005,GMP,VGG19,cifar10,0.85
0.93756074,Voting,0.005,LAMP,VGG19,cifar10,0.85
0.9377733,Mean,0.005,LAMP,VGG19,cifar10,0.85
0.84365374,Voting,0.001,GMP,resnet18,cifar10,0.9
0.84506446,Mean,0.001,GMP,resnet18,cifar10,0.9
0.9331123,Voting,0.001,LAMP,resnet18,cifar10,0.9
0.93347085,Mean,0.001,LAMP,resnet18,cifar10,0.9
0.9241891,Voting,0.003,GMP,resnet18,cifar10,0.9
0.9240654,Mean,0.003,GMP,resnet18,cifar10,0.9
0.93488383,Voting,0.003,LAMP,resnet18,cifar10,0.9
0.935384,Mean,0.003,LAMP,resnet18,cifar10,0.9
0.9125748,Voting,0.005,GMP,resnet18,cifar10,0.9
0.9151962,Mean,0.005,GMP,resnet18,cifar10,0.9
0.9215728,Voting,0.005,LAMP,resnet18,cifar10,0.9
0.9220449,Mean,0.005,LAMP,resnet18,cifar10,0.9
0.9410394,Voting,0.001,GMP,resnet50,cifar10,0.9
0.94147,Mean,0.001,GMP,resnet50,cifar10,0.9
0.94262415,Voting,0.001,LAMP,resnet50,cifar10,0.9
0.94268143,Mean,0.001,LAMP,resnet50,cifar10,0.9
