Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Architecture,Pruner,Dataset,Pruning Rate
70,1097983339360.0,0.2999394834041595,89.92,0.7429034113883972,69.85,11,0.003,resnet50,GMP,cifar100,0.9
80,1252610731360.0,0.2892739176750183,90.82,0.7506093978881836,70.04,11,0.003,resnet50,GMP,cifar100,0.9
90,1407238123360.0,0.3701701462268829,92.54,0.7655954360961914,70.29,11,0.003,resnet50,GMP,cifar100,0.9
100,1561865515360.0,0.347296267747879,92.82,0.8166602849960327,70.48,11,0.003,resnet50,GMP,cifar100,0.9
101,1561865515360.0,0.3513736128807068,93.0,0.8166602849960327,70.48,11,0.003,resnet50,GMP,cifar100,0.9
-1,128924896.0,2.3416996002197266,5.0,2.369830846786499,4.99,12,0.003,resnet50,GMP,cifar100,0.9
0,15599912416.0,1.170454740524292,35.02,1.156543850898743,33.84,12,0.003,resnet50,GMP,cifar100,0.9
10,170309787616.0,0.3722274899482727,69.68,0.5914270877838135,59.68,12,0.003,resnet50,GMP,cifar100,0.9
20,325019662816.0,0.2855668067932129,77.62,0.5600274801254272,64.02,12,0.003,resnet50,GMP,cifar100,0.9
30,479729538016.0,0.2652356624603271,82.0,0.6354248523712158,66.09,12,0.003,resnet50,GMP,cifar100,0.9
40,634439413216.0,0.2955361902713775,85.24,0.608284056186676,67.76,12,0.003,resnet50,GMP,cifar100,0.9
50,789149288416.0,0.2712009847164154,86.7,0.730791449546814,68.45,12,0.003,resnet50,GMP,cifar100,0.9
60,943859163616.0,0.2607038617134094,89.64,0.7580801844596863,69.21,12,0.003,resnet50,GMP,cifar100,0.9
70,1098569038816.0,0.3193334937095642,89.9,0.8224501609802246,69.79,12,0.003,resnet50,GMP,cifar100,0.9
80,1253278914016.0,0.2536118626594543,90.82,0.804149329662323,70.24,12,0.003,resnet50,GMP,cifar100,0.9
90,1407988789216.0,0.3187633752822876,92.1,0.8115161657333374,70.34,12,0.003,resnet50,GMP,cifar100,0.9
100,1562698664416.0,0.3024881482124328,93.56,0.8516590595245361,70.62,12,0.003,resnet50,GMP,cifar100,0.9
101,1562698664416.0,0.2754732072353363,93.26,0.8516590595245361,70.62,12,0.003,resnet50,GMP,cifar100,0.9
