Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Architecture,Pruner,Dataset,Pruning Rate
70,1159189205184.0,0.0370771363377571,99.64,0.1842686682939529,93.33,12,0.003,VGG19,GMP,cifar10,0.9
80,1322436129984.0,0.0347774997353553,99.66,0.1969108283519745,93.41,12,0.003,VGG19,GMP,cifar10,0.9
90,1485683054784.0,0.0444056279957294,99.76,0.1784443110227584,93.42,12,0.003,VGG19,GMP,cifar10,0.9
100,1648929979584.0,0.0405712984502315,99.8,0.2196818441152572,93.44,12,0.003,VGG19,GMP,cifar10,0.9
101,1648929979584.0,0.0378126464784145,99.76,0.219681829214096,93.44,12,0.003,VGG19,GMP,cifar10,0.9
-1,136018104.0,2.1266331672668457,35.08,2.200353145599365,31.49,13,0.003,VGG19,GMP,cifar10,0.9
0,16458190584.0,0.1968327909708023,99.3,0.2077874988317489,93.19,13,0.003,VGG19,GMP,cifar10,0.9
10,179679915384.0,0.0648724138736724,99.48,0.158920556306839,93.4,13,0.003,VGG19,GMP,cifar10,0.9
20,342901640184.0,0.046567365527153,99.5,0.1651994287967682,93.33,13,0.003,VGG19,GMP,cifar10,0.9
30,506123364984.0,0.0391646958887577,99.6,0.1856953650712967,93.47,13,0.003,VGG19,GMP,cifar10,0.9
40,669345089784.0,0.0265410989522933,99.6,0.1931309103965759,93.34,13,0.003,VGG19,GMP,cifar10,0.9
50,832566814584.0,0.0362058840692043,99.54,0.2433160543441772,93.41,13,0.003,VGG19,GMP,cifar10,0.9
60,995788539384.0,0.0342480465769767,99.74,0.1681256294250488,93.35,13,0.003,VGG19,GMP,cifar10,0.9
70,1159010264184.0,0.029662961140275,99.66,0.1791781187057495,93.41,13,0.003,VGG19,GMP,cifar10,0.9
80,1322231988984.0,0.0262028500437736,99.8,0.2196239680051803,93.4,13,0.003,VGG19,GMP,cifar10,0.9
90,1485453713784.0,0.038330752402544,99.8,0.2341295331716537,93.5,13,0.003,VGG19,GMP,cifar10,0.9
100,1648675438584.0,0.0282115247100591,99.64,0.2425130754709243,93.4,13,0.003,VGG19,GMP,cifar10,0.9
101,1648675438584.0,0.0520211495459079,99.74,0.2425130754709243,93.4,13,0.003,VGG19,GMP,cifar10,0.9
-1,136023816.0,2.2486183643341064,31.64,2.3177382946014404,28.37,14,0.003,VGG19,GMP,cifar10,0.9
0,16458881736.0,0.2188865840435028,99.24,0.2321319133043289,92.8,14,0.003,VGG19,GMP,cifar10,0.9
10,179687460936.0,0.0621663592755794,99.58,0.1485072076320648,93.29,14,0.003,VGG19,GMP,cifar10,0.9
20,342916040136.0,0.0442205481231212,99.7,0.1695663928985595,93.37,14,0.003,VGG19,GMP,cifar10,0.9
30,506144619336.0,0.0410124063491821,99.54,0.1875119358301162,93.3,14,0.003,VGG19,GMP,cifar10,0.9
40,669373198536.0,0.0402961857616901,99.66,0.1895600706338882,93.36,14,0.003,VGG19,GMP,cifar10,0.9
50,832601777736.0,0.0337215512990951,99.66,0.1683299243450164,93.38,14,0.003,VGG19,GMP,cifar10,0.9
60,995830356936.0,0.0329139195382595,99.62,0.1794450432062149,93.42,14,0.003,VGG19,GMP,cifar10,0.9
70,1159058936136.0,0.0398019589483737,99.6,0.1786244064569473,93.45,14,0.003,VGG19,GMP,cifar10,0.9
80,1322287515336.0,0.0266484301537275,99.72,0.1906852424144745,93.44,14,0.003,VGG19,GMP,cifar10,0.9
90,1485516094536.0,0.0395780093967914,99.82,0.1817268133163452,93.51,14,0.003,VGG19,GMP,cifar10,0.9
100,1648744673736.0,0.0237341914325952,99.82,0.2023176103830337,93.35,14,0.003,VGG19,GMP,cifar10,0.9
101,1648744673736.0,0.0272630620747804,99.66,0.2023176103830337,93.35,14,0.003,VGG19,GMP,cifar10,0.9
-1,135925140.0,2.07568097114563,33.66,2.1385750770568848,30.5,15,0.003,VGG19,GMP,cifar10,0.9
0,16446941940.0,0.2111934274435043,99.44,0.2272612601518631,93.02,15,0.003,VGG19,GMP,cifar10,0.9
10,179557109940.0,0.0504161268472671,99.56,0.1568305790424347,93.32,15,0.003,VGG19,GMP,cifar10,0.9
20,342667277940.0,0.0503349713981151,99.54,0.1708231270313263,93.36,15,0.003,VGG19,GMP,cifar10,0.9
30,505777445940.0,0.0386504046618938,99.58,0.1876122653484344,93.31,15,0.003,VGG19,GMP,cifar10,0.9
40,668887613940.0,0.0480691418051719,99.64,0.1765554249286651,93.42,15,0.003,VGG19,GMP,cifar10,0.9
50,831997781940.0,0.0385639816522598,99.5,0.1790047436952591,93.34,15,0.003,VGG19,GMP,cifar10,0.9
60,995107949940.0,0.025285817682743,99.62,0.1776106655597686,93.36,15,0.003,VGG19,GMP,cifar10,0.9
70,1158218117940.0,0.0375699885189533,99.58,0.2110379189252853,93.32,15,0.003,VGG19,GMP,cifar10,0.9
80,1321328285940.0,0.0288278199732303,99.88,0.2109341323375702,93.22,15,0.003,VGG19,GMP,cifar10,0.9
90,1484438453940.0,0.0266539510339498,99.76,0.1817505955696106,93.31,15,0.003,VGG19,GMP,cifar10,0.9
100,1647548621940.0,0.0428587645292282,99.6,0.1904231905937194,93.33,15,0.003,VGG19,GMP,cifar10,0.9
101,1647548621940.0,0.0325738154351711,99.86,0.1904231905937194,93.33,15,0.003,VGG19,GMP,cifar10,0.9
-1,136018740.0,2.2982065677642822,32.3,2.3327317237854004,30.21,16,0.003,VGG19,GMP,cifar10,0.9
0,16458267540.0,0.2136301100254058,99.42,0.2185693979263305,92.94,16,0.003,VGG19,GMP,cifar10,0.9
10,179680755540.0,0.0594795159995555,99.46,0.1358597874641418,93.32,16,0.003,VGG19,GMP,cifar10,0.9
20,342903243540.0,0.0423657186329364,99.58,0.1399607956409454,93.41,16,0.003,VGG19,GMP,cifar10,0.9
30,506125731540.0,0.0450253263115882,99.56,0.160075694322586,93.34,16,0.003,VGG19,GMP,cifar10,0.9
40,669348219540.0,0.0452949404716491,99.54,0.1510445326566696,93.37,16,0.003,VGG19,GMP,cifar10,0.9
50,832570707540.0,0.0380901582539081,99.8,0.1466560959815979,93.38,16,0.003,VGG19,GMP,cifar10,0.9
60,995793195540.0,0.0346269942820072,99.8,0.139727771282196,93.57,16,0.003,VGG19,GMP,cifar10,0.9
70,1159015683540.0,0.0349755324423313,99.62,0.1748504191637039,93.33,16,0.003,VGG19,GMP,cifar10,0.9
80,1322238171540.0,0.0336104817688465,99.66,0.1682301014661789,93.38,16,0.003,VGG19,GMP,cifar10,0.9
90,1485460659540.0,0.0349620170891284,99.64,0.1765219569206237,93.41,16,0.003,VGG19,GMP,cifar10,0.9
100,1648683147540.0,0.0348069742321968,99.7,0.1755929887294769,93.4,16,0.003,VGG19,GMP,cifar10,0.9
101,1648683147540.0,0.0484978482127189,99.76,0.1755929887294769,93.4,16,0.003,VGG19,GMP,cifar10,0.9
-1,136013784.0,2.2300710678100586,33.78,2.2659342288970947,31.62,17,0.003,VGG19,GMP,cifar10,0.9
0,16457667864.0,0.223167210817337,98.98,0.2296381294727325,92.96,17,0.003,VGG19,GMP,cifar10,0.9
10,179674208664.0,0.0516689382493495,99.42,0.1517875045537948,93.44,17,0.003,VGG19,GMP,cifar10,0.9
20,342890749464.0,0.0458885543048381,99.5,0.1432783007621765,93.57,17,0.003,VGG19,GMP,cifar10,0.9
30,506107290264.0,0.0369326546788215,99.54,0.1607059836387634,93.46,17,0.003,VGG19,GMP,cifar10,0.9
40,669323831064.0,0.0413702093064785,99.58,0.1704839020967483,93.44,17,0.003,VGG19,GMP,cifar10,0.9
50,832540371864.0,0.0438108369708061,99.62,0.1757893413305282,93.47,17,0.003,VGG19,GMP,cifar10,0.9
60,995756912664.0,0.0378929711878299,99.5,0.1772239357233047,93.45,17,0.003,VGG19,GMP,cifar10,0.9
70,1158973453464.0,0.036446489393711,99.74,0.1685401946306228,93.43,17,0.003,VGG19,GMP,cifar10,0.9
80,1322189994264.0,0.0438618212938308,99.6,0.2070683538913726,93.41,17,0.003,VGG19,GMP,cifar10,0.9
