;Epoch;test_accuracy;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier
34;34;89.28;0.15625;0.484375;0.546875;0.71875;0.64453125;0.6875;0.671875;0.5234375;0.38671875;0.271484375;0.181640625;0.142578125;0.125;0.1171875;0.107421875;0.109375;0.8;0.171875;0.515625;0.5390625;0.703125;0.640625;0.6953125;0.6875;0.57421875;0.3984375;0.28125;0.17578125;0.13671875;0.123046875;0.115234375;0.107421875;0.107421875;0.8
35;35;89.32;0.15625;0.484375;0.5390625;0.7109375;0.64453125;0.69140625;0.67578125;0.52734375;0.40625;0.2890625;0.189453125;0.14453125;0.12890625;0.119140625;0.109375;0.109375;0.8;0.171875;0.515625;0.53125;0.6953125;0.64453125;0.6953125;0.6875;0.57421875;0.40234375;0.28125;0.17578125;0.138671875;0.125;0.1171875;0.107421875;0.109375;0.8
36;36;89.23;0.15625;0.484375;0.546875;0.71875;0.65234375;0.69921875;0.6796875;0.53515625;0.400390625;0.283203125;0.1875;0.146484375;0.12890625;0.119140625;0.107421875;0.109375;0.8;0.171875;0.515625;0.5390625;0.7109375;0.64453125;0.69921875;0.6875;0.578125;0.390625;0.271484375;0.169921875;0.134765625;0.123046875;0.115234375;0.10546875;0.107421875;0.8
37;37;89.34;0.15625;0.484375;0.5546875;0.71875;0.65234375;0.703125;0.68359375;0.5390625;0.41015625;0.283203125;0.18359375;0.14453125;0.125;0.1171875;0.107421875;0.107421875;0.8;0.171875;0.515625;0.5390625;0.7109375;0.6484375;0.703125;0.6953125;0.57421875;0.404296875;0.275390625;0.171875;0.138671875;0.125;0.115234375;0.107421875;0.107421875;0.8
38;38;90.01;0.15625;0.484375;0.546875;0.71875;0.65234375;0.703125;0.6796875;0.52734375;0.392578125;0.265625;0.177734375;0.142578125;0.125;0.1171875;0.107421875;0.109375;0.8;0.171875;0.515625;0.5390625;0.703125;0.6484375;0.703125;0.69140625;0.57421875;0.3984375;0.267578125;0.169921875;0.138671875;0.125;0.115234375;0.10546875;0.10546875;0.8
39;39;89.88;0.171875;0.484375;0.546875;0.71875;0.65234375;0.703125;0.68359375;0.53125;0.39453125;0.267578125;0.17578125;0.142578125;0.126953125;0.1171875;0.107421875;0.107421875;0.8;0.171875;0.515625;0.5390625;0.7109375;0.6484375;0.70703125;0.69140625;0.57421875;0.3984375;0.2578125;0.162109375;0.134765625;0.125;0.1171875;0.107421875;0.107421875;0.8
40;40;90.59;0.15625;0.484375;0.5390625;0.71875;0.65234375;0.703125;0.6796875;0.52734375;0.38671875;0.267578125;0.1796875;0.142578125;0.12890625;0.119140625;0.109375;0.109375;0.8;0.171875;0.515625;0.5390625;0.703125;0.6484375;0.70703125;0.6953125;0.578125;0.392578125;0.271484375;0.169921875;0.13671875;0.125;0.115234375;0.10546875;0.107421875;0.8
41;41;89.48;0.171875;0.484375;0.546875;0.7265625;0.66015625;0.7109375;0.6875;0.52734375;0.3984375;0.2734375;0.189453125;0.146484375;0.126953125;0.1171875;0.10546875;0.109375;0.8;0.171875;0.515625;0.5390625;0.7109375;0.65234375;0.70703125;0.6953125;0.578125;0.408203125;0.279296875;0.173828125;0.138671875;0.125;0.11328125;0.103515625;0.10546875;0.8
42;42;89.7;0.15625;0.484375;0.546875;0.7265625;0.66015625;0.70703125;0.68359375;0.5234375;0.384765625;0.255859375;0.17578125;0.142578125;0.126953125;0.1171875;0.107421875;0.109375;0.8;0.171875;0.515625;0.5390625;0.7109375;0.65625;0.7109375;0.69921875;0.57421875;0.396484375;0.271484375;0.169921875;0.138671875;0.126953125;0.115234375;0.10546875;0.107421875;0.8
43;43;90.09;0.15625;0.484375;0.546875;0.7265625;0.6640625;0.7109375;0.6875;0.5234375;0.400390625;0.267578125;0.18359375;0.146484375;0.130859375;0.12109375;0.107421875;0.109375;0.8;0.171875;0.515625;0.5390625;0.7109375;0.65625;0.71484375;0.703125;0.57421875;0.392578125;0.26171875;0.16796875;0.138671875;0.126953125;0.115234375;0.10546875;0.109375;0.8
